"","county","inflow","year"
"1","Adams",29168,1996
"2","Alamosa",899,1996
"3","Arapahoe",43019,1996
"4","Archuleta",944,1996
"5","Baca",254,1996
"6","Bent",279,1996
"7","Boulder",20569,1996
"8","Chaffee",1260,1996
"9","Cheyenne",156,1996
"10","Clear Creek",1819,1996
"11","Conejos",315,1996
"12","Costilla",278,1996
"13","Crowley",275,1996
"14","Custer",371,1996
"15","Delta",1715,1996
"16","Denver",39885,1996
"17","Dolores",165,1996
"18","Douglas",16936,1996
"19","Eagle",3560,1996
"20","Elbert",2035,1996
"21","El Paso",42345,1996
"22","Fremont",2677,1996
"23","Garfield",2885,1996
"24","Gilpin",902,1996
"25","Grand",1121,1996
"26","Gunnison",1175,1996
"27","Hinsdale",60,1996
"28","Huerfano",517,1996
"29","Jackson",80,1996
"30","Jefferson",34930,1996
"31","Kiowa",109,1996
"32","Kit Carson",350,1996
"33","Lake",472,1996
"34","La Plata",2898,1996
"35","Larimer",14743,1996
"36","Las Animas",802,1996
"37","Lincoln",369,1996
"38","Logan",1087,1996
"39","Mesa",6273,1996
"40","Mineral",57,1996
"41","Moffat",834,1996
"42","Montezuma",1515,1996
"43","Montrose",2072,1996
"44","Morgan",1733,1996
"45","Otero",995,1996
"46","Ouray",330,1996
"47","Park",1777,1996
"48","Phillips",245,1996
"49","Pitkin",1045,1996
"50","Prowers",759,1996
"51","Pueblo",4936,1996
"52","Rio Blanco",431,1996
"53","Rio Grande",898,1996
"54","Routt",1489,1996
"55","Saguache",225,1996
"56","San Juan",75,1996
"57","San Miguel",666,1996
"58","Sedgwick",203,1996
"59","Summit",2691,1996
"60","Teller",2346,1996
"61","Washington",266,1996
"62","Weld",9600,1996
"63","Yuma",576,1996
"64","Adams",29444,1997
"65","Alamosa",917,1997
"66","Arapahoe",44703,1997
"67","Archuleta",847,1997
"68","Baca",160,1997
"69","Bent",332,1997
"70","Boulder",20909,1997
"71","Chaffee",1137,1997
"72","Cheyenne",116,1997
"73","Clear Creek",1963,1997
"74","Conejos",312,1997
"75","Costilla",226,1997
"76","Crowley",239,1997
"77","Custer",364,1997
"78","Delta",1560,1997
"79","Denver",41240,1997
"80","Dolores",158,1997
"81","Douglas",20360,1997
"82","Eagle",3733,1997
"83","Elbert",1868,1997
"84","El Paso",39481,1997
"85","Fremont",2654,1997
"86","Garfield",2951,1997
"87","Gilpin",1009,1997
"88","Grand",1038,1997
"89","Gunnison",1133,1997
"90","Hinsdale",91,1997
"91","Huerfano",507,1997
"92","Jackson",124,1997
"93","Jefferson",35195,1997
"94","Kiowa",107,1997
"95","Kit Carson",363,1997
"96","Lake",550,1997
"97","La Plata",2783,1997
"98","Larimer",15195,1997
"99","Las Animas",721,1997
