"","county","year","inflow"
"1","Adams",2000,158631
"2","Adams",2005,170134
"3","Adams",2010,135059
"4","Adams",2015,185386
"5","Alamosa",2000,4582
"6","Alamosa",2005,4657
"7","Alamosa",2010,3663
"8","Alamosa",2015,4455
"9","Arapahoe",2000,231408
"10","Arapahoe",2005,227615
"11","Arapahoe",2010,174868
"12","Arapahoe",2015,246343
"13","Archuleta",2000,4430
"14","Archuleta",2005,4417
"15","Archuleta",2010,3048
"16","Archuleta",2015,3750
"17","Baca",2000,1033
"18","Baca",2005,793
"19","Baca",2010,497
"20","Baca",2015,497
"21","Bent",2000,1679
"22","Bent",2005,1377
"23","Bent",2010,619
"24","Bent",2015,906
"25","Boulder",2000,111781
"26","Boulder",2005,94838
"27","Boulder",2010,66416
"28","Boulder",2015,87959
"29","Chaffee",2000,5881
"30","Chaffee",2005,5519
"31","Chaffee",2010,4167
"32","Chaffee",2015,5393
"33","Cheyenne",2000,683
"34","Cheyenne",2005,520
"35","Cheyenne",2010,395
"36","Cheyenne",2015,432
"37","Clear Creek",2000,9593
"38","Clear Creek",2005,6165
"39","Clear Creek",2010,2541
"40","Clear Creek",2015,3403
"41","Conejos",2000,1606
"42","Conejos",2005,1507
"43","Conejos",2010,1275
"44","Conejos",2015,1300
"45","Costilla",2000,1189
"46","Costilla",2005,884
"47","Costilla",2010,696
"48","Costilla",2015,815
"49","Crowley",2000,1394
"50","Crowley",2005,1175
"51","Crowley",2010,839
"52","Crowley",2015,727
"53","Custer",2000,1823
"54","Custer",2005,1675
"55","Custer",2010,1273
"56","Custer",2015,1514
"57","Delta",2000,8579
"58","Delta",2005,8443
"59","Delta",2010,6517
"60","Delta",2015,7098
"61","Denver",2000,217722
"62","Denver",2005,222980
"63","Denver",2010,193285
"64","Denver",2015,282514
"65","Dolores",2000,813
"66","Dolores",2005,647
"67","Dolores",2010,553
"68","Dolores",2015,310
"69","Douglas",2000,107936
"70","Douglas",2005,124890
"71","Douglas",2010,94101
"72","Douglas",2015,118189
"73","Eagle",2000,19297
"74","Eagle",2005,18318
"75","Eagle",2010,13622
"76","Eagle",2015,16098
