"","county","year","Total Population of Area, in Thousands","Public Supply total population served, in thousands","Public Supply total self-supplied withdrawals, fresh, in Mgal/d","Domestic total self-supplied withdrawals, fresh, in Mgal/d","Domestic self-supplied population, in thousands","Domestic deliveries from public supply, in Mgal/d","Irrigation, Crop total self-supplied withdrawals for crops, fresh, in Mgal/d"
"1","Adams",1985,276.47,267.9,54.75,0.64,8.57,"35.850",NA
"2","Adams",1990,265.04,254.77,46.85,0.78,10.27,"33.940",NA
"3","Adams",1995,303.3,289.22,47.55,1.06,14.08,"36.390",NA
"4","Adams",2000,363.86,328.78,75.05,4.21,35.08,NA,NA
"5","Adams",2005,399.426,383.448,51.07,1.37,15.978,"32.990","110.81"
"6","Adams",2010,441.603,371.343,77.15,7.01,70.26,"35.490","143.74"
"7","Adams",2015,491.337,479.01,78.89,0.94,12.327,"36.530","85.51"
"8","Alamosa",1985,12.5,8.87,1.98,0.27,3.63,"1.390",NA
"9","Alamosa",1990,13.62,10.08,2.32,0.26,3.54,"1.650",NA
"10","Alamosa",1995,14.22,10.5,2.32,0.28,3.72,"1.730",NA
"11","Alamosa",2000,14.97,11.76,1.76,0.39,3.21,NA,NA
"12","Alamosa",2005,15.282,11.383,2,0.53,3.899,"1.540","247.24"
"13","Alamosa",2010,15.445,9.015,1.72,0.87,6.43,"1.220","149.31"
"14","Alamosa",2015,16.496,9.84,2.09,0.84,6.656,"1.250","136.45"
"15","Arapahoe",1985,371.59,366.07,79.28,0.27,5.52,"50.800",NA
"16","Arapahoe",1990,391.51,376.28,68.28,1.14,15.23,"49.480",NA
"17","Arapahoe",1995,449.1,405.21,72.72,3.29,43.89,"52.260",NA
"18","Arapahoe",2000,487.97,419.49,95.42,8.21,68.48,NA,NA
"19","Arapahoe",2005,529.09,518.26,75.68,1.12,10.83,"53.550","9.58"
"20","Arapahoe",2010,572.003,564.487,122.77,1.58,7.516,"119.260","14.07"
"21","Arapahoe",2015,631.096,625.52,141.39,1.26,5.576,"141.380","1.39"
"22","Archuleta",1985,5.23,4.26,0.87,0.08,0.97,"0.640",NA
"23","Archuleta",1990,5.35,5.15,1.04,0.01,0.2,"0.860",NA
"24","Archuleta",1995,7.1,6.83,1.81,0.02,0.27,"1.140",NA
"25","Archuleta",2000,9.9,4.84,1.54,0.61,5.06,NA,NA
"26","Archuleta",2005,11.886,7.282,0.77,0.47,4.604,"0.740","69.02"
"27","Archuleta",2010,12.084,7.656,2,1.1,4.428,"1.300","55.85"
"28","Archuleta",2015,12.352,8.59,1.51,1.07,3.762,"2.440","41.79"
"29","Baca",1985,4.82,3.05,0.63,0.15,1.77,"0.570",NA
"30","Baca",1990,4.56,2.76,0.52,0.14,1.8,"0.490",NA
"31","Baca",1995,4.38,2.64,0.52,0.13,1.74,"0.460",NA
"32","Baca",2000,4.52,3.24,0.49,0.15,1.28,NA,NA
"33","Baca",2005,4.069,2.887,0.75,0.1,1.182,"0.240","122.17"
"34","Baca",2010,3.788,2.403,0.62,0.12,1.385,"0.200","96.81"
"35","Baca",2015,3.615,2.53,0.45,0.1,1.085,"0.240","125.24"
"36","Bent",1985,5.74,3.4,0.51,0.19,2.34,"0.490",NA
"37","Bent",1990,5.05,4.03,0.58,0.08,1.02,"0.470",NA
"38","Bent",1995,5.52,4.39,0.63,0.09,1.13,"0.480",NA
"39","Bent",2000,6,3.73,0.56,0.27,2.27,NA,NA
"40","Bent",2005,5.558,4.257,1.13,0.13,1.301,"0.430","103.82"
"41","Bent",2010,6.499,3.909,0.86,0.22,2.59,"0.330","149.65"
"42","Bent",2015,5.83,3.47,0.81,0.2,2.36,"0.290","167.81"
"43","Boulder",1985,210.64,203.93,48.3,0.51,6.71,"33.200",NA
"44","Boulder",1990,225.34,204.11,44.21,1.61,21.23,"30.370",NA
"45","Boulder",1995,253.85,230,41.68,1.8,23.85,"31.310",NA
"46","Boulder",2000,291.29,286.85,71.3,0.53,4.44,NA,NA
"47","Boulder",2005,280.44,278.242,45.62,0.25,2.198,"32.270","147.26"
"48","Boulder",2010,294.567,289.76,81.37,0.5,4.807,"33.660","143.95"
"49","Boulder",2015,319.372,315.7,48.3,0.38,3.672,"32.740","102.23"
"50","Broomfield",2005,43.478,37.092,4.45,0.54,6.386,"3.160","1.76"
"51","Broomfield",2010,55.889,55.889,5.01,0,0,"4.760","1.16"
"52","Broomfield",2015,65.065,65.065,5.67,0,0,"5.670","1.16"
"53","Chaffee",1985,12.27,9.37,3.68,0.22,2.9,"3.110",NA
"54","Chaffee",1990,12.68,8.74,3.29,0.3,3.94,"2.760",NA
"55","Chaffee",1995,14.41,9.92,3.81,0.34,4.49,"2.680",NA
"56","Chaffee",2000,16.24,11.04,2.58,0.63,5.2,NA,NA
"57","Chaffee",2005,16.968,13.879,1.69,0.31,3.089,"1.410","99.14"
"58","Chaffee",2010,17.809,12.637,3.32,0.52,5.172,"1.280","80.37"
